
======================================================
CATEGORIA XTREAM: ABERTOS (Total: 64 canais)
======================================================
  • Nome na API: 'Rd RS' | Normalizado: 'RD RS' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Recife' | Normalizado: 'RD RECIFE' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Ric Tv' | Normalizado: 'RD RIC TV' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Rio' | Normalizado: 'RD RIO' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd SP' | Normalizado: 'RD SP' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd SP' | Normalizado: 'RD SP' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd SP' | Normalizado: 'RD SP' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd SP' | Normalizado: 'RD SP' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd SP' | Normalizado: 'RD SP' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Santos' | Normalizado: 'RD SANTOS' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Santos' | Normalizado: 'RD SANTOS' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Sao Jose Rio Preto' | Normalizado: 'RD SAO JOSE RIO PRETO' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Sergipe' | Normalizado: 'RD SERGIPE' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Sic Tv Rondonia' | Normalizado: 'RD SIC TV RONDONIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Thathi Campinas' | Normalizado: 'RD THATHI CAMPINAS' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv' | Normalizado: 'RD TV' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Belem' | Normalizado: 'RD TV BELEM' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Belem' | Normalizado: 'RD TV BELEM' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Belem' | Normalizado: 'RD TV BELEM' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Cabralia Bahia' | Normalizado: 'RD TV CABRALIA BAHIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Cabralia Bahia' | Normalizado: 'RD TV CABRALIA BAHIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Cabralia Bahia' | Normalizado: 'RD TV CABRALIA BAHIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Cidade' | Normalizado: 'RD TV CIDADE' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Cidade' | Normalizado: 'RD TV CIDADE' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Cidade' | Normalizado: 'RD TV CIDADE' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Cidade' | Normalizado: 'RD TV CIDADE' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
